# optimum 106960 - 111539
WEZLY = 520
197 298 550 37
198 375 522 0
199 394 530 0
200 374 540 0
201 357 556 0
202 166 388 10
203 173 410 0
204 129 369 0
205 29 97 0
206 79 57 0
207 24 324 0
208 178 59 0
209 68 372 10
210 39 382 3
211 27 388 10
212 230 266 0
213 294 220 0
214 211 212 0
215 236 273 0
216 260 291 8
217 256 287 0
218 274 345 6
219 306 361 0
220 248 89 0
221 228 130 0
222 218 162 0
223 236 170 0
224 343 200 0
225 374 185 0
226 349 304 0
227 426 404 0
228 433 377 0
229 399 477 2
230 437 429 0
231 425 373 0
232 316 320 4
233 348 313 0
234 308 390 0
235 318 395 0
236 395 524 0
237 409 533 0
238 437 538 0
239 432 551 0
240 355 559 0
241 359 544 105
242 163 404 5
243 127 353 0
244 84 57 0
245 16 374 0
246 31 308 0
247 14 342 0
248 29 396 0
249 15 404 0
250 237 259 0
251 300 248 0
252 301 214 22
253 247 268 4
254 296 377 0
255 303 367 34
256 309 363 0
257 271 58 0
258 265 108 0
259 233 127 0
260 206 179 11
261 235 179 0
262 275 168 0
263 351 302 0
264 345 228 0
265 387 197 0
266 412 183 0
267 376 166 3
268 433 401 0
269 401 364 0
270 404 495 27
271 440 431 0
272 429 443 0
273 403 362 0
274 425 362 0
275 352 339 0
276 383 353 0
277 298 379 0
278 302 407 0
279 412 518 0
280 439 538 0
281 484 546 0
282 438 524 115
283 436 551 0
284 360 565 0
285 355 562 0
286 107 357 29
287 88 87 0
288 28 301 127
289 8 338 0
290 20 414 0
291 7 417 0
292 301 259 41
293 288 369 0
294 317 352 0
295 278 69 0
296 265 128 0
297 273 124 0
298 252 110 0
299 302 144 0
300 272 172 52
301 359 296 7
302 356 232 36
303 396 197 0
304 387 207 7
305 425 210 0
306 422 154 0
307 422 294 0
308 473 428 0
309 514 424 0
310 442 446 0
311 388 356 0
312 419 310 0
313 426 357 11
314 367 338 0
315 385 354 0
316 296 429 0
317 313 416 54
318 441 533 0
319 439 530 0
320 494 547 0
321 485 540 0
322 449 526 0
323 459 554 0
324 411 575 0
325 357 580 29
326 356 563 0
327 14 423 0
328 290 369 0
329 279 74 0
330 258 128 0
331 277 122 0
332 300 117 0
333 387 210 0
334 423 212 0
335 428 219 0
336 429 150 0
337 407 152 3
338 440 231 0
339 428 283 0
340 475 442 0
341 492 427 0
342 513 409 0
343 522 424 0
344 443 494 0
345 453 444 0
346 388 347 0
347 294 436 0
348 304 431 32
349 461 536 0
350 543 553 0
351 452 533 0
352 532 566 0
353 425 586 0
354 311 106 0
355 378 223 0
356 413 197 0
357 421 214 0
358 428 222 0
359 413 104 0
360 408 92 0
361 452 143 0
362 407 132 7
363 441 228 0
364 464 223 0
365 439 227 0
366 439 298 40
367 491 413 0
368 501 440 0
369 517 409 0
370 537 469 0
371 391 339 0
372 399 316 0
373 239 459 0
374 255 432 0
375 543 551 0
376 540 564 0
377 531 552 0
378 539 567 0
379 483 558 0
380 536 573 0
381 519 578 7
382 434 591 0
383 299 91 11
384 406 201 0
385 416 222 0
386 440 187 0
387 438 89 0
388 382 105 0
389 381 107 0
390 383 12 0
391 395 54 0
392 464 148 0
393 482 39 0
394 473 212 0
395 496 315 0
396 473 249 0
397 467 153 0
398 482 414 0
399 497 400 34
400 492 337 0
401 543 488 0
402 521 473 0
403 416 257 0
404 385 340 29
405 385 301 51
406 245 456 54
407 253 403 0
408 267 421 3
409 520 550 0
410 533 549 19
411 538 570 0
412 488 565 14
413 541 580 0
414 446 583 34
415 414 229 0
416 464 151 0
417 478 44 0
418 440 71 0
419 357 86 0
420 359 98 0
421 378 114 0
422 367 9 0
423 381 15 0
424 387 63 18
425 470 131 0
426 489 11 0
427 477 26 131
428 478 190 0
429 513 363 0
430 516 366 0
431 481 243 0
432 502 333 0
433 474 162 0
434 460 417 0
435 481 401 0
436 483 313 0
437 483 343 0
438 536 498 0
439 503 467 0
440 391 253 0
441 245 382 14
442 520 548 0
443 433 62 37
444 346 88 0
445 349 63 0
446 365 78 9
447 357 104 0
448 377 119 0
449 369 13 18
450 393 10 0
451 483 91 0
452 474 132 0
453 501 28 0
454 479 175 0
455 508 188 20
456 496 192 0
457 508 348 0
458 517 374 0
459 483 235 8
460 511 327 0
461 482 155 1
462 444 418 0
463 463 404 1
464 468 269 0
465 475 319 0
466 482 340 0
467 488 359 0
468 475 356 0
469 519 536 1
470 341 96 0
471 339 79 9
472 343 61 0
473 363 54 9
474 368 117 0
475 403 41 0
476 485 93 0
477 482 104 0
478 481 142 21
479 508 6 0
480 523 173 0
481 523 188 0
482 501 196 0
483 493 205 0
484 512 347 0
485 528 403 0
486 508 239 16
487 515 315 4
488 442 411 17
489 459 240 0
490 459 274 0
491 458 319 0
492 527 521 0
493 509 535 0
494 343 107 0
495 345 44 0
496 334 66 0
497 368 44 18
498 416 46 0
499 495 97 122
500 487 121 21
501 548 150 0
502 549 171 0
503 528 203 0
504 505 206 0
505 527 338 0
506 543 452 0
507 449 405 7
508 452 249 32
509 463 283 0
510 339 42 18
511 547 133 0
512 527 215 32
513 540 345 21
514 537 116 0
515 535 132 0
516 547 58 0
517 531 127 41
518 500 156 0
519 542 50 75
520 503 161 1
KRAWEDZIE = 634
1 190 227 19
2 189 224 14
3 377 409 11
4 53 71 88
5 220 257 38
6 453 479 23
7 180 212 8
8 346 371 8
9 54 73 25
10 481 503 15
11 91 112 12
12 224 263 102
13 85 106 68
14 311 346 9
15 121 143 17
16 367 398 9
17 144 146 5
18 108 129 26
19 419 444 11
20 387 417 60
21 56 77 11
22 26 40 24
23 307 338 65
24 212 215 9
25 43 62 2
26 172 177 15
27 18 29 39
28 371 403 85
29 342 369 4
30 206 244 5
31 430 458 8
32 339 363 56
33 380 411 3
34 121 144 5
35 99 121 13
36 338 363 3
37 318 319 3
38 224 264 28
39 107 115 39
40 134 139 13
41 240 284 7
42 334 356 18
43 309 341 22
44 21 34 11
45 28 42 10
46 55 75 12
47 458 485 31
48 312 339 28
49 284 324 51
50 360 388 29
51 8 20 9
52 126 151 50
53 138 161 13
54 365 386 40
55 310 344 48
56 365 397 79
57 2 3 13
58 323 352 73
59 227 228 27
60 66 83 51
61 451 453 65
62 233 275 26
63 77 98 12
64 233 263 11
65 168 169 22
66 322 344 32
67 165 193 70
68 343 369 15
69 144 167 18
70 233 275 26
71 78 98 6
72 320 321 11
73 3 7 98
74 485 506 51
75 86 108 26
76 265 303 9
77 364 394 14
78 100 122 34
79 455 481 15
80 258 296 20
81 4 6 18
82 141 164 79
83 395 429 50
84 175 207 29
85 121 140 20
86 429 457 15
87 172 177 15
88 364 395 97
89 428 454 15
90 397 416 3
91 319 344 36
92 140 143 7
93 361 392 13
94 511 514 19
95 198 199 20
96 231 273 24
97 10 23 14
98 358 386 37
99 83 104 20
100 262 299 36
101 472 495 17
102 92 107 17
103 70 90 19
104 360 389 30
105 334 356 18
106 425 451 42
107 425 452 4
108 115 139 4
109 423 450 13
110 50 67 59
111 363 394 35
112 445 472 6
113 254 293 11
114 434 462 16
115 93 116 7
116 141 165 58
117 165 194 9
118 228 269 34
119 481 503 15
120 343 370 47
121 398 434 22
122 224 265 44
123 108 129 26
124 336 359 48
125 452 477 29
126 23 28 11
127 26 40 24
128 194 234 2
129 219 254 18
130 78 99 17
131 393 417 6
132 160 184 12
133 5 13 25
134 99 121 13
135 151 172 34
136 278 316 22
137 33 49 10
138 164 190 55
139 501 502 21
140 428 455 30
141 168 198 25
142 220 258 25
143 167 196 27
144 133 157 41
145 501 511 17
146 280 283 13
147 184 215 28
148 234 277 14
149 75 77 13
150 266 305 29
151 6 15 80
152 116 117 18
153 199 236 6
154 157 180 9
155 3 8 20
156 29 43 5
157 207 245 50
158 233 276 53
159 34 53 18
160 161 186 21
161 70 91 10
162 33 50 82
163 139 163 48
164 201 240 3
165 3 9 3
166 429 430 4
167 394 428 22
168 238 239 13
169 417 426 34
170 1 2 10
171 444 470 9
172 226 233 9
173 191 198 52
174 19 31 31
175 275 276 34
176 37 55 13
177 188 223 10
178 419 445 24
179 324 353 17
180 316 347 7
181 31 45 19
182 7 18 17
183 341 367 14
184 33 36 12
185 114 138 46
186 388 389 2
187 352 378 7
188 454 480 44
189 164 191 2
190 400 436 25
191 347 373 59
192 168 199 43
193 350 375 2
194 374 407 29
195 336 360 61
196 199 237 15
197 315 346 7
198 432 460 10
199 91 112 12
200 71 93 7
201 2 3 13
202 71 78 17
203 116 140 15
204 78 100 10
205 464 489 30
206 98 99 19
207 350 376 11
208 198 200 18
209 61 82 11
210 49 66 200
211 190 228 47
212 511 515 12
213 411 413 10
214 273 311 16
215 107 128 24
216 121 144 5
217 514 515 16
218 7 19 13
219 305 334 2
220 307 339 12
221 91 113 43
222 169 201 12
223 106 126 56
224 2 4 5
225 112 133 16
226 428 456 18
227 311 315 3
228 192 230 28
229 280 318 5
230 347 374 39
231 211 248 8
232 19 32 7
233 184 216 4
234 357 385 9
235 338 364 25
236 41 60 12
237 354 383 19
238 459 486 25
239 420 447 6
240 69 89 9
241 213 251 28
242 189 225 30
243 376 378 3
244 407 441 22
245 332 354 15
246 419 446 11
247 74 96 10
248 334 357 2
249 106 127 51
250 2 5 32
251 335 357 8
252 451 476 2
253 390 422 16
254 6 16 7
255 402 439 18
256 215 253 12
257 282 322 11
258 24 38 10
259 304 333 3
260 263 301 10
261 131 156 12
262 469 492 17
263 111 132 8
264 346 372 32
265 3 9 3
266 58 79 11
267 256 294 13
268 318 322 10
269 186 220 40
270 75 97 12
271 52 69 9
272 239 283 4
273 271 308 33
274 10 16 11
275 9 22 4
276 2 6 23
277 391 424 12
278 201 241 12
279 193 232 9
280 458 485 31
281 95 118 42
282 37 56 19
283 350 377 12
284 436 464 46
285 238 280 2
286 475 498 13
287 437 466 3
288 490 509 9
289 20 33 59
290 134 139 13
291 285 326 1
292 356 384 8
293 230 271 3
294 7 11 41
295 124 148 10
296 179 210 6
297 254 277 2
298 146 169 35
299 159 183 39
300 370 401 19
301 396 431 10
302 160 185 43
303 350 375 2
304 369 400 76
305 306 336 8
306 372 405 20
307 193 233 26
308 392 416 3
309 163 188 19
310 361 393 108
311 154 178 12
312 358 363 14
313 40 58 12
314 269 273 2
315 185 218 12
316 104 124 23
317 265 304 10
318 180 213 80
319 367 399 14
320 237 279 15
321 291 327 9
322 32 47 5
323 96 120 10
324 333 355 15
325 341 368 15
326 128 152 58
327 212 250 9
328 3 8 20
329 31 46 4
330 11 25 9
331 336 361 24
332 249 290 11
333 397 433 11
334 319 322 10
335 338 339 53
336 309 342 15
337 13 26 75
338 165 195 3
339 95 119 16
340 171 204 27
341 243 286 20
342 108 130 14
343 189 226 118
344 247 289 7
345 174 206 25
346 133 158 8
347 339 366 18
348 457 484 4
349 8 21 35
350 44 63 14
351 142 166 21
352 503 512 12
353 456 482 6
354 434 463 13
355 13 19 40
356 310 345 11
357 295 329 5
358 335 358 3
359 360 390 83
360 392 425 18
361 222 260 20
362 170 202 8
363 477 500 17
364 219 255 6
365 269 307 73
366 382 414 14
367 391 423 41
368 515 517 6
369 122 147 9
370 480 481 15
371 126 152 10
372 452 478 12
373 113 135 16
374 464 490 10
375 437 467 16
376 53 72 18
377 281 320 10
378 495 510 6
379 59 80 10
380 30 44 17
381 121 145 8
382 352 379 49
383 170 203 30
384 422 449 4
385 393 426 28
386 6 8 13
387 109 131 13
388 437 468 15
389 258 297 17
390 281 321 6
391 256 277 19
392 389 420 23
393 309 343 8
394 113 136 5
395 296 330 7
396 460 487 12
397 373 406 6
398 266 306 30
399 45 64 15
400 251 292 11
401 114 127 15
402 421 448 5
403 308 340 14
404 426 453 20
405 450 475 32
406 23 37 44
407 158 182 4
408 104 125 6
409 121 146 5
410 223 261 9
411 323 349 18
412 229 270 18
413 173 205 21
414 380 413 8
415 371 404 6
416 33 51 13
417 10 24 32
418 432 457 16
419 99 100 27
420 396 432 88
421 228 269 34
422 47 65 5
423 431 459 8
424 433 461 10
425 90 111 13
426 161 187 14
427 194 235 9
428 42 61 62
429 238 281 47
430 191 229 10
431 505 513 14
432 203 242 11
433 85 107 49
434 482 504 10
435 284 325 15
436 138 162 94
437 476 499 10
438 225 266 38
439 85 92 50
440 472 496 10
441 116 140 15
442 5 14 12
443 364 396 27
444 143 145 11
445 24 39 12
446 200 239 59
447 87 110 4
448 191 198 52
449 377 410 3
450 238 282 14
451 204 243 16
452 182 214 15
453 258 298 13
454 395 430 54
455 187 188 23
456 444 471 11
457 257 295 13
458 92 114 29
459 145 168 34
460 516 519 9
461 59 81 16
462 480 501 33
463 283 323 23
464 92 115 24
465 36 49 7
466 93 117 20
467 67 87 20
468 470 494 11
469 36 54 7
470 18 30 17
471 16 24 21
472 321 349 24
473 240 285 3
474 186 221 9
475 462 488 7
476 390 423 3
477 388 419 31
478 389 421 7
479 316 348 8
480 244 287 30
481 378 411 3
482 299 332 27
483 297 331 4
484 227 268 7
485 337 362 20
486 129 154 44
487 352 380 8
488 401 438 12
489 386 416 43
490 359 360 13
491 230 272 16
492 164 191 2
493 275 314 15
494 385 415 7
495 40 59 21
496 515 518 42
497 102 123 9
498 164 192 55
499 153 176 42
500 66 84 4
501 137 159 13
502 211 249 20
503 6 17 6
504 514 516 58
505 167 197 8
506 353 382 10
507 344 349 45
508 359 387 29
509 476 477 11
510 433 454 13
511 280 319 8
512 400 437 10
513 149 170 19
514 129 155 7
515 219 256 3
516 456 483 13
517 39 42 16
518 112 134 5
519 137 160 20
520 418 443 11
521 262 300 5
522 168 200 25
523 52 70 101
524 151 173 33
525 226 263 2
526 225 266 38
527 66 85 9
528 360 391 40
529 249 291 15
530 127 153 32
531 207 246 17
532 54 74 8
533 3 10 30
534 86 109 15
535 518 520 5
536 185 219 37
537 163 189 117
538 207 247 20
539 56 78 15
540 211 245 17
541 307 312 16
542 273 312 54
543 38 57 15
544 10 20 2
545 179 211 10
546 213 252 9
547 50 68 18
548 152 175 118
549 409 442 2
550 352 381 17
551 306 337 15
552 320 350 49
553 398 435 13
554 16 28 14
555 21 35 10
556 469 493 10
557 322 351 7
558 33 52 108
559 21 36 14
560 125 150 5
561 335 358 3
562 225 267 19
563 436 465 10
564 70 92 48
565 81 102 13
566 187 222 12
567 374 408 16
568 305 335 9
569 488 507 9
570 387 418 18
571 246 288 7
572 151 174 73
573 154 179 45
574 308 341 19
575 3 11 56
576 117 141 49
577 149 171 12
578 73 94 15
579 178 209 20
580 118 142 32
581 176 208 28
582 20 34 35
583 82 103 5
584 27 41 9
585 66 86 44
586 403 440 25
587 115 134 13
588 32 48 9
589 379 412 8
590 480 502 26
591 358 372 98
592 465 491 17
593 264 302 11
594 234 278 18
595 318 349 20
596 473 497 11
597 445 473 16
598 393 427 13
599 338 365 4
600 78 101 8
601 363 365 2
602 489 508 11
603 153 177 66
604 442 469 12
605 55 76 19
606 276 315 2
607 15 27 10
608 113 137 48
609 223 262 39
610 199 238 43
611 278 317 14
612 221 259 5
613 271 309 74
614 274 313 5
615 157 181 11
616 83 105 6
617 77 99 31
618 271 310 15
619 263 264 74
620 352 377 14
621 448 474 9
622 4 12 15
623 87 90 29
624 484 505 17
625 293 328 2
626 192 231 47
627 184 217 6
628 145 146 7
629 124 149 24
630 73 95 19
631 67 88 3
632 370 402 16
633 358 363 14
634 231 274 11
KABLE = 3
1 16 4
2 32 6
3 128 8
